Albert              en_US    # I have a frog in my throat. No, I mean a real frog!
Alice               it_IT    # Salve, mi chiamo Alice e sono una voce italiana.
Alva                sv_SE    # Hej, jag heter Alva. Jag är en svensk röst.
Amélie              fr_CA    # Bonjour, je m'appelle Amélie. Ma voix est en français canadien.
Amira               ms_MY    # Helo, nama saya Amira. Saya bercakap Bahasa Melayu.
Anna                de_DE    # Hallo, ich heiße Anna und ich bin eine deutsche Stimme.
Bad News            en_US    # I sure like being inside this fancy computer
Bahh                en_US    # Do not pull the wool over my eyes.
Bells               en_US    # Time flies when you are having fun.
Boing               en_US    # Spring has sprung, fall has fell, winter's here and it's colder than usual.
Bubbles             en_US    # I sure like being inside this fancy computer
Carmit              he_IL    # שלום. קוראים לי כרמית, ואני קול בשפה העברית.
Cellos              en_US    # Doo da doo da dum dee dee doodly doo dum dum dum doo da doo da doo da doo da doo da doo da doo
Damayanti           id_ID    # Halo, nama saya Damayanti. Saya berbahasa Indonesia.
Daniel              en_GB    # Hello, my name is Daniel. I am a British-English voice.
Daria               bg_BG    # Здравей, казвам се Дария и съм български глас.
Wobble              en_US    # I sure like being inside this fancy computer
Grandma (Tedesco (Germania)) de_DE    # Hallo! Ich heiße Grandma.
Grandma (Inglese (UK)) en_GB    # Hello! My name is Grandma.
Grandma (Inglese (USA)) en_US    # Hello! My name is Grandma.
Grandma (Spagnolo (Spagna)) es_ES    # ¡Hola! Me llamo Grandma.
Grandma (Spagnolo (Messico)) es_MX    # ¡Hola! Me llamo Grandma.
Grandma (Finlandese (Finlandia)) fi_FI    # Hei! Nimeni on Grandma.
Grandma (Francese (Canada)) fr_CA    # Bonjour! Je m’appelle Grandma.
Grandma (Francese (Francia)) fr_FR    # Bonjour, je m’appelle Grandma.
Grandma (Italiano (Italia)) it_IT    # Ciao! Mi chiamo Grandma.
Grandma (Portoghese (Brasile)) pt_BR    # Olá, meu nome é Grandma.
Grandpa (Tedesco (Germania)) de_DE    # Hallo! Ich heiße Grandpa.
Grandpa (Inglese (UK)) en_GB    # Hello! My name is Grandpa.
Grandpa (Inglese (USA)) en_US    # Hello! My name is Grandpa.
Grandpa (Spagnolo (Spagna)) es_ES    # ¡Hola! Me llamo Grandpa.
Grandpa (Spagnolo (Messico)) es_MX    # ¡Hola! Me llamo Grandpa.
Grandpa (Finlandese (Finlandia)) fi_FI    # Hei! Nimeni on Grandpa.
Grandpa (Francese (Canada)) fr_CA    # Bonjour! Je m’appelle Grandpa.
Grandpa (Francese (Francia)) fr_FR    # Bonjour, je m’appelle Grandpa.
Grandpa (Italiano (Italia)) it_IT    # Ciao! Mi chiamo Grandpa.
Grandpa (Portoghese (Brasile)) pt_BR    # Olá, meu nome é Grandpa.
Jester              en_US    # Please stop tickling me!
Ioana               ro_RO    # Bună, mă cheamă Ioana. Sunt o voce românească.
Jacques             fr_FR    # Bonjour, je m’appelle Jacques.
Joana               pt_PT    # Olá, chamo-me Joana e dou voz ao português falado em Portugal.
Junior              en_US    # My favorite food is pizza.
Kanya               th_TH    # สวัสดีค่ะ ดิฉันชื่อกันยา
Karen               en_AU    # Hello, my name is Karen. I am an Australian-English voice.
Kathy               en_US    # Isn't it nice to have a computer that will talk to you?
Kyoko               ja_JP    # こんにちは、私の名前はきょうこです。日本語の音声をお届けします。
Lana                hr_HR    # Bog! Moje je ime Lana. Ja sam hrvatski glas.
Laura               sk_SK    # Ahoj. Volám sa Laura. Som hlas v slovenskom jazyku.
Lekha               hi_IN    # नमस्कार, मेरा नाम लेखा है! मैं हिन्दी में बोलने वाली आवाज़ हूँ!
Lesya               uk_UA    # Привіт, мене звуть Леся. Я — український голос.
Linh                vi_VN    # Xin chào, tên tôi là Linh. Tôi là giọng nói Tiếng Việt.
Luciana             pt_BR    # Olá, o meu nome é Luciana e a minha voz corresponde ao português que é falado no Brasil
Majed               ar_001   # مرحبًا، اسمي ماجد. أنا صوتٌ عربي.
Tünde               hu_HU    # Üdvözlöm! Tünde vagyok. Én vagyok a magyar hang.
Meijia              zh_TW    # 你好，我叫美佳。我說國語。
Melina              el_GR    # ονομάζομαι Μελίνα. Μιλάω ελληνικά.
Milena              ru_RU    # Здравствуйте, меня зовут Милена. Я — русский голос системы.
Moira               en_IE    # Hello, my name is Moira. I am an Irish-English voice.
Mónica              es_ES    # Hola, me llamo Mónica y soy una voz española.
Montse              ca_ES    # Hola, em dic Montse i soc una veu catalana.
Nora                nb_NO    # Hei, jeg heter Nora. Jeg er en norsk stemme.
Organ               en_US    # We must rejoice in this morbid voice.
Paulina             es_MX    # Hola, me llamo Paulina y soy una voz mexicana.
Superstar           en_US    # When I grow up I'm going to be a scientist.
Ralph               en_US    # The sum of the squares of the legs of a right triangle is equal to the square of the hypotenuse.
Reed (Tedesco (Germania)) de_DE    # Hallo! Ich heiße Reed.
Reed (Inglese (UK)) en_GB    # Hello! My name is Reed.
Reed (Inglese (USA)) en_US    # Hello! My name is Reed.
Reed (Spagnolo (Spagna)) es_ES    # ¡Hola! Me llamo Reed.
Reed (Spagnolo (Messico)) es_MX    # ¡Hola! Me llamo Reed.
Reed (Finlandese (Finlandia)) fi_FI    # Hei! Nimeni on Reed.
Reed (Francese (Canada)) fr_CA    # Bonjour! Je m’appelle Reed.
Reed (Italiano (Italia)) it_IT    # Ciao! Mi chiamo Reed.
Reed (Portoghese (Brasile)) pt_BR    # Olá, meu nome é Reed.
Rishi               en_IN    # Hello, my name is Rishi. I am an Indian-English voice.
Rocko (Tedesco (Germania)) de_DE    # Hallo! Ich heiße Rocko.
Rocko (Inglese (UK)) en_GB    # Hello! My name is Rocko.
Rocko (Inglese (USA)) en_US    # Hello! My name is Rocko.
Rocko (Spagnolo (Spagna)) es_ES    # ¡Hola! Me llamo Rocko.
Rocko (Spagnolo (Messico)) es_MX    # ¡Hola! Me llamo Rocko.
Rocko (Finlandese (Finlandia)) fi_FI    # Hei! Nimeni on Rocko.
Rocko (Francese (Canada)) fr_CA    # Bonjour! Je m’appelle Rocko.
Rocko (Francese (Francia)) fr_FR    # Bonjour, je m’appelle Rocko.
Rocko (Italiano (Italia)) it_IT    # Ciao! Mi chiamo Rocko.
Rocko (Portoghese (Brasile)) pt_BR    # Olá, meu nome é Rocko.
Samantha            en_US    # Hello, my name is Samantha. I am an American-English voice.
Sandy (Tedesco (Germania)) de_DE    # Hallo! Ich heiße Sandy.
Sandy (Inglese (UK)) en_GB    # Hello! My name is Sandy.
Sandy (Inglese (USA)) en_US    # Hello! My name is Sandy.
Sandy (Spagnolo (Spagna)) es_ES    # ¡Hola! Me llamo Sandy.
Sandy (Spagnolo (Messico)) es_MX    # ¡Hola! Me llamo Sandy.
Sandy (Finlandese (Finlandia)) fi_FI    # Hei! Nimeni on Sandy.
Sandy (Francese (Canada)) fr_CA    # Bonjour! Je m’appelle Sandy.
Sandy (Francese (Francia)) fr_FR    # Bonjour, je m’appelle Sandy.
Sandy (Italiano (Italia)) it_IT    # Ciao! Mi chiamo Sandy.
Sandy (Portoghese (Brasile)) pt_BR    # Olá, meu nome é Sandy.
Sara                da_DK    # Hej, jeg hedder Sara. Jeg er en dansk stemme.
Satu                fi_FI    # Hei, minun nimeni on Satu. Olen suomalainen ääni.
Shelley (Tedesco (Germania)) de_DE    # Hallo! Ich heiße Shelley.
Shelley (Inglese (UK)) en_GB    # Hello! My name is Shelley.
Shelley (Inglese (USA)) en_US    # Hello! My name is Shelley.
Shelley (Spagnolo (Spagna)) es_ES    # ¡Hola! Me llamo Shelley.
Shelley (Spagnolo (Messico)) es_MX    # ¡Hola! Me llamo Shelley.
Shelley (Finlandese (Finlandia)) fi_FI    # Hei! Nimeni on Shelley.
Shelley (Francese (Canada)) fr_CA    # Bonjour! Je m’appelle Shelley.
Shelley (Francese (Francia)) fr_FR    # Bonjour, je m’appelle Shelley.
Shelley (Italiano (Italia)) it_IT    # Ciao! Mi chiamo Shelley.
Shelley (Portoghese (Brasile)) pt_BR    # Olá, meu nome é Shelley.
Sinji               zh_HK    # 你好，我叫善怡。我講廣東waa2。
Tessa               en_ZA    # Hello, my name is Tessa. I am a South African-English voice.
Thomas              fr_FR    # Bonjour, je m'appelle Thomas. Je suis une voix française.
Tingting            zh_CN    # 你好，我叫 婷婷。我是中文普通话语音。
Trinoids            en_US    # We cannot communicate with these carbon units.
Whisper             en_US    # Pssssst, hey you, Yeah you, Who do ya think I'm talking to, the mouse?
Xander              nl_NL    # Hallo, mijn naam is Xander. Ik ben een Nederlandse stem.
Yelda               tr_TR    # Merhaba, benim adım Yelda. Ben Türkçe bir sesim.
Yuna                ko_KR    # 안녕하세요. 제 이름은 유나입니다. 저는 한국어 음성입니다.
Zarvox              en_US    # That looks like a peaceful planet.
Zosia               pl_PL    # Witaj. Mam na imię Zosia, jestem głosem kobiecym dla języka polskiego.
Zuzana              cs_CZ    # Dobrý den, jmenuji se Zuzana. Jsem český hlas.
